Unnamed: 0,Periods,AC,Dish washer,Washing Machine,Dryer,Water heater,TV,Microwave,Kettle,Lighting,Refrigerator
156,61,0,0.0,1.02162857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.14
157,62,0,0.0,0.0830571428571428,0.0,0.0,0.0,1.15357272727272,0.0,0.0,0.0
158,63,0,0.0,0.00149714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,65,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,66,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,67,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,68,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,69,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,70,0,0.0,0.0,0.0,0.441,0.0,0.0,0.0,0.0,0.0
166,71,0,0.0,1.02162857142857,0.0,0.054,0.0,0.0,0.0,0.0,0.0
167,72,0,0.0,0.0830571428571428,0.0,0.625,0.0,0.0,0.0,0.0,0.14
168,73,0,0.0,0.00149714285714285,0.0,0.351,0.0,0.0,0.0,0.0,0.0
169,74,0,0.0,0.0,0.0,0.796,0.0,0.0,0.0,0.0,0.0
170,75,0,0.0,0.0,0.0,0.129,0.0,0.0,0.0,0.0,0.14
171,76,0,0.0,0.0,0.0,0.482,0.0,0.0,0.0,0.0,0.14
172,77,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,78,0,0.0,0.0,0.0,0.0,0.144373333333333,0.0,0.0,0.0126666666666666,0.0
174,79,0,0.0,0.0,0.0,0.0,0.144493333333333,0.0,0.0,0.225,0.0
175,80,0,0.0,0.0,0.0,0.0,0.144493333333333,0.0,0.0,0.22,0.14
176,81,0,0.0,0.0,0.0,0.0,0.144686666666666,0.0,0.0,0.22,0.0
